id,name,mode,scoreLeft,scoreRight,time,amount,isLeft,isRight,dist
0001,Jack,set,0,0,0.01674843,0,True,True,near
0001,Jack,set,0,0,0.01664925,0,True,True,near
0001,Jack,set,0,0,0.05456543,0,True,True,near
0001,Jack,random,0,0,15,0,True,True,near
,,set,0,0,0.0482036,0,True,True,near
,,set,0,0,0.0301723,0,True,True,near
,,set,0,0,0.0313516,0,True,True,near
,,set,0,0,0.01779652,0,True,True,near
,,random,0,0,10,0,True,True,near
,,random,0,0,10,0,True,True,near
,,random,0,0,10,0,True,True,near
,,set,0,0,0.01278305,0,True,True,near
,,set,0,0,0.01580811,0,True,True,near
,,random,0,0,10,0,True,True,near
,,random,0,0,10,0,True,True,near
,,set,0,0,0.02006531,0,True,True,near
,,random,0,0,10,0,True,True,near
,,set,0,0,0.05126572,0,True,True,near
,,random,0,0,10,0,True,True,near
,,set,0,0,0.01234436,0,True,True,near
,,set,0,0,0.01424408,0,True,True,near
